"date","change","deposits","withdrawals"
2008-05-16,-3011,14628,17639
2008-05-19,1762,12418,10656
2008-05-20,11927,21580,9653
2008-05-21,-4283,11936,16220
2008-05-22,9418,84083,74665
2008-05-23,-928,7477,8405
2008-05-27,4149,12104,7955
2008-05-28,-12052,5849,17901
2008-05-29,4000,84510,80510
2008-05-30,-4783,27821,32604
2008-06-02,20306,78636,58331
2008-06-03,-27030,4247,31277
2008-06-04,435,10837,10402
2008-06-05,943,90126,89183
2008-06-06,-2190,7244,9434
2008-06-09,3358,11816,8459
2008-06-10,-3922,5094,9016
2008-06-11,18016,32937,14920
2008-06-12,-19222,76437,95658
2008-06-13,6152,19010,12857
2008-06-16,30822,85182,54359
2008-06-17,6159,15481,9322
2008-06-18,268,15821,15553
2008-06-19,-30087,73841,103927
2008-06-20,6989,15123,8134
2008-06-23,13254,20694,7440
2008-06-24,-2368,7612,9980
2008-06-25,-5357,11338,16695
2008-06-26,-9123,70393,79515
2008-06-27,-1091,9988,11079
2008-06-30,33100,73277,40177
2008-07-01,-37138,15194,52332
2008-07-02,289,12098,11809
2008-07-03,-2815,93795,96610
2008-07-07,4919,15746,10827
2008-07-08,-6702,3734,10435
2008-07-09,-7273,8835,16108
2008-07-10,4551,84996,80446
2008-07-11,-3262,7508,10770
2008-07-14,-600,13591,14191
2008-07-15,700,20174,19473
2008-07-16,438,15677,15239
2008-07-17,2326,87242,84916
2008-07-18,1119,8294,7176
2008-07-21,4932,11532,6600
2008-07-22,3866,11799,7932
2008-07-23,-894,13138,14032
2008-07-24,5910,80235,74324
2008-07-25,-2355,7749,10104
2008-07-28,1032,12945,11913
2008-07-29,-7693,5206,12898
2008-07-30,1000,9214,8214
2008-07-31,45889,168586,122697
2008-08-01,-46368,20382,66750
2008-08-04,4907,13736,8829
2008-08-05,-4787,4198,8985
2008-08-06,4103,11424,7321
2008-08-07,-3735,82384,86119
2008-08-08,-3537,7207,10745
2008-08-11,2465,11454,8989
2008-08-12,-4425,3557,7982
2008-08-13,19908,33265,13357
2008-08-14,-10406,88029,98434
2008-08-15,-14578,77313,91890
2008-08-18,10499,18171,7672
2008-08-19,-4259,2923,7182
2008-08-20,-3690,10805,14496
2008-08-21,2549,92317,89768
2008-08-22,-2965,7431,10396
2008-08-25,2822,11866,9044
2008-08-26,4669,14171,9502
2008-08-27,-6466,8217,14683
2008-08-28,18247,110797,92550
2008-08-29,-19638,11298,30937
2008-09-02,29590,82845,53254
2008-09-03,-24810,6187,30997
2008-09-04,-1744,92135,93879
2008-09-05,-4298,7491,11789
2008-09-08,955,11540,10585
2008-09-09,15132,24219,9087
2008-09-10,-5001,8973,13974
2008-09-11,-6832,86927,93758
2008-09-12,7778,14802,7024
2008-09-15,3549,80341,76792
2008-09-16,15927,23197,7270
2008-09-17,440,14284,13844
2008-09-18,14680,133245,118565
2008-09-19,66889,78383,11493
2008-09-22,69839,80580,10741
2008-09-23,-1536,10202,11738
2008-09-24,-5938,10934,16872
2008-09-25,51931,151792,99860
2008-09-26,35738,47626,11888
2008-09-29,66313,75379,9066
2008-09-30,36131,71760,35628
2008-10-02,14825,138350,123525
2008-10-03,21667,54062,32395
2008-10-06,-781,11364,12146
2008-10-07,23561,34138,10578
2008-10-08,23164,39112,15949
2008-10-09,10076,128381,118305
2008-10-10,25549,36795,11246
2008-10-14,1906,12512,10606
2008-10-15,22264,62198,39934
2008-10-16,9102,141219,132117
2008-10-17,-10143,7436,17579
2008-10-20,131294,141306,10012
2008-10-21,-3865,6344,10209
2008-10-22,32000,46935,14934
2008-10-23,20982,152153,131171
2008-10-24,-3943,6784,10727
